ID,NAME,GP,PTS,W,L,WIN%,FG%,3P%,FT%,OREB,DREB,REB,AST,TOV,+/-,OFF RATING,DEF RATING,NET RATING,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PIE
1610612737,Atlanta Hawks,82,95.0,44,38,53.7,46.2,35.199999999999996,77.9,9.3,30.0,39.3,22.0,13.6,-0.8,105.1,105.8,-0.7,60.699999999999996,1.61,17.7,27.400000000000002,71.0,49.4,15.1,50.1,54.2,49.3
1610612738,Boston Celtics,82,96.5,56,26,68.30000000000001,48.6,36.5,77.0,7.8,31.0,38.8,23.4,14.6,5.4,105.5,99.8,5.7,63.5,1.61,18.8,25.7,70.89999999999999,49.7,15.9,51.9,56.10000000000001,55.800000000000004
1610612751,Brooklyn Nets,82,94.2,24,58,29.299999999999997,44.0,34.300000000000004,75.9,11.1,29.8,40.8,21.0,14.0,-6.2,102.1,108.9,-6.8,59.0,1.5,16.6,30.4,70.0,49.7,15.2,47.4,51.7,45.2
1610612766,Charlotte Hornets,82,93.3,34,48,41.5,45.1,32.7,75.6,10.3,29.8,40.1,21.1,14.5,-4.0,102.8,107.0,-4.2,60.099999999999994,1.45,16.9,29.799999999999997,70.5,50.2,16.0,48.199999999999996,52.800000000000004,48.0
1610612741,Chicago Bulls,82,98.6,62,20,75.6,46.2,36.1,74.3,11.8,32.4,44.2,22.3,14.2,7.3,107.2,99.5,7.8,60.099999999999994,1.57,17.3,33.2,71.7,52.800000000000004,15.4,50.1,54.1,55.50000000000001
1610612739,Cleveland Cavaliers,82,95.5,19,63,23.200000000000003,43.4,34.2,74.5,10.4,29.9,40.3,21.0,14.2,-9.0,101.5,110.9,-9.5,59.599999999999994,1.48,16.4,28.299999999999997,69.89999999999999,48.5,15.1,47.199999999999996,51.800000000000004,44.1
1610612742,Dallas Mavericks,82,100.2,57,25,69.5,47.5,36.5,77.7,9.5,31.9,41.4,23.8,14.0,4.2,108.4,104.1,4.4,63.7,1.71,18.7,27.800000000000004,71.3,50.4,15.1,52.5,56.49999999999999,53.800000000000004
1610612743,Denver Nuggets,82,107.5,50,32,61.0,47.599999999999994,38.800000000000004,76.5,9.6,32.3,42.0,22.1,14.1,4.8,111.7,106.8,4.9,57.599999999999994,1.57,17.0,28.299999999999997,71.6,50.6,14.7,52.6,57.4,52.400000000000006
1610612765,Detroit Pistons,82,97.0,30,52,36.6,46.0,37.6,73.7,11.4,27.3,38.6,21.1,13.0,-3.6,107.0,110.7,-3.7,56.599999999999994,1.62,16.8,31.7,68.10000000000001,49.1,14.399999999999999,49.5,53.300000000000004,46.400000000000006
1610612744,Golden State Warriors,82,103.4,36,46,43.9,46.1,39.2,76.1,11.6,28.9,40.5,22.5,14.6,-2.3,107.1,109.4,-2.3,56.8,1.54,17.0,30.0,65.9,47.599999999999994,15.1,51.0,54.400000000000006,47.199999999999996
