ID,NAME,GP,PTS,W,L,WIN%,FG%,3P%,FT%,OREB,DREB,REB,AST,TOV,+/-,OFF RATING,DEF RATING,NET RATING,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PIE
1610612737,Atlanta Hawks,66,96.6,40,26,60.6,45.4,37.0,74.0,9.9,31.3,41.2,22.4,14.0,3.4,104.2,100.4,3.8,61.0,1.61,17.6,27.900000000000002,70.3,49.3,15.1,50.0,53.5,52.6
1610612738,Boston Celtics,66,91.8,39,27,59.099999999999994,46.0,36.7,77.8,7.7,31.1,38.8,23.6,14.8,2.5,100.1,97.5,2.6,66.5,1.59,18.8,24.5,68.60000000000001,47.8,16.2,49.6,53.5,53.5
1610612751,Brooklyn Nets,66,93.1,22,44,33.300000000000004,42.5,34.2,77.7,11.9,28.5,40.3,19.9,15.1,-6.0,101.8,108.1,-6.3,57.99999999999999,1.32,15.8,31.4,67.7,48.9,16.5,47.3,51.6,44.800000000000004
1610612766,Charlotte Hornets,66,87.0,7,59,10.6,41.4,29.5,74.6,10.3,28.7,39.0,20.1,14.5,-13.9,94.4,109.4,-15.0,60.5,1.39,16.0,28.499999999999996,67.80000000000001,47.4,15.7,43.9,48.3,41.099999999999994
1610612741,Chicago Bulls,66,96.3,50,16,75.8,45.2,37.5,72.2,13.9,32.8,46.7,23.1,14.0,8.2,106.3,97.5,8.8,61.9,1.65,17.7,36.1,70.3,53.6,15.4,49.0,52.300000000000004,56.10000000000001
1610612739,Cleveland Cavaliers,66,93.0,21,45,31.8,42.199999999999996,34.599999999999994,71.6,12.7,29.5,42.3,19.8,15.4,-7.2,100.0,107.6,-7.6,57.9,1.29,15.4,32.300000000000004,68.30000000000001,49.6,16.6,46.300000000000004,50.5,43.9
1610612742,Dallas Mavericks,66,95.8,36,30,54.50000000000001,44.3,33.900000000000006,77.10000000000001,10.1,32.7,42.8,20.9,14.0,1.0,102.1,100.9,1.1,57.49999999999999,1.49,16.5,26.8,71.39999999999999,49.3,14.899999999999999,48.9,52.7,51.0
1610612743,Denver Nuggets,66,104.1,38,28,57.599999999999994,47.599999999999994,33.2,73.5,11.2,31.9,43.1,24.0,15.4,2.9,108.3,105.1,3.2,61.5,1.56,17.9,31.6,70.5,51.5,16.0,51.6,55.60000000000001,52.7
1610612765,Detroit Pistons,66,90.9,25,41,37.9,43.8,34.599999999999994,75.2,11.7,28.5,40.3,18.7,15.7,-4.8,100.0,105.0,-5.0,53.800000000000004,1.19,15.1,32.2,68.89999999999999,50.0,17.2,46.800000000000004,51.0,44.800000000000004
1610612744,Golden State Warriors,66,97.8,23,43,34.8,45.7,38.800000000000004,77.0,9.7,29.5,39.2,22.3,13.9,-3.4,103.9,107.3,-3.4,59.099999999999994,1.61,17.4,25.6,65.8,46.0,14.7,50.5,53.900000000000006,47.199999999999996
1610612745,Houston Rockets,66,98.1,34,32,51.5,44.9,35.9,78.2,11.7,30.5,42.2,21.3,14.5,0.2,104.2,104.0,0.2,56.39999999999999,1.47,16.4,30.9,69.19999999999999,49.9,15.4,49.2,52.900000000000006,49.7
1610612754,Indiana Pacers,66,97.7,42,24,63.6,43.8,36.8,78.2,12.5,31.4,43.9,18.6,14.0,3.3,105.5,102.1,3.3,52.2,1.33,14.7,33.300000000000004,68.89999999999999,51.1,15.1,47.4,52.6,52.1
1610612746,Los Angeles Clippers,66,97.5,40,26,60.6,45.5,35.699999999999996,68.0,12.1,29.4,41.6,21.0,13.3,2.6,107.5,104.8,2.7,56.8,1.58,16.6,33.1,69.19999999999999,50.7,14.7,50.2,53.300000000000004,51.7
1610612747,Los Angeles Lakers,66,97.3,41,25,62.1,45.7,32.6,75.6,12.1,34.1,46.2,22.5,15.1,1.4,104.5,103.2,1.3,61.1,1.49,17.3,32.7,71.89999999999999,53.2,16.2,49.1,53.400000000000006,52.400000000000006
1610612763,Memphis Grizzlies,66,95.0,41,25,62.1,44.7,32.6,75.9,12.6,29.5,42.0,19.5,14.5,2.0,102.8,100.6,2.2,53.2,1.35,15.4,33.5,68.8,50.8,15.7,47.3,51.5,51.4
1610612748,Miami Heat,66,98.5,46,20,69.69999999999999,46.9,35.9,77.5,10.4,31.2,41.6,20.0,15.2,6.0,105.6,99.2,6.4,53.800000000000004,1.31,15.9,29.9,69.3,50.4,16.3,50.5,54.900000000000006,55.300000000000004
1610612749,Milwaukee Bucks,66,99.0,31,35,47.0,44.3,34.5,77.4,12.4,30.0,42.5,23.5,14.1,0.3,104.5,104.1,0.4,62.0,1.67,17.6,31.4,67.5,49.0,14.799999999999999,48.1,52.1,50.3
1610612750,Minnesota Timberwolves,66,97.9,26,40,39.4,43.3,33.2,77.10000000000001,12.1,31.7,43.7,19.5,15.2,-2.2,103.1,105.3,-2.2,54.800000000000004,1.29,15.1,31.1,69.3,50.2,16.0,47.699999999999996,52.400000000000006,48.3
1610612740,New Orleans Pelicans,66,89.6,21,45,31.8,45.1,33.300000000000004,75.7,11.0,30.2,41.1,20.7,15.5,-3.8,99.9,103.9,-4.0,59.5,1.34,16.8,31.0,69.6,50.6,17.299999999999997,47.599999999999994,51.7,48.199999999999996
1610612752,New York Knicks,66,97.8,36,30,54.50000000000001,44.3,33.6,74.1,11.3,30.5,41.7,20.1,16.0,3.2,103.5,100.2,3.2,56.2,1.26,15.6,30.9,70.19999999999999,50.3,16.900000000000002,49.2,53.300000000000004,52.0
1610612760,Oklahoma City Thunder,66,103.1,47,19,71.2,47.099999999999994,35.8,80.60000000000001,11.0,32.7,43.7,18.5,16.3,6.1,108.4,102.1,6.3,49.7,1.13,14.6,30.4,68.7,50.9,17.2,51.6,56.699999999999996,54.2
1610612753,Orlando Magic,66,94.2,37,29,56.10000000000001,44.1,37.5,66.0,11.2,31.2,42.5,20.0,14.9,0.8,104.0,103.4,0.6,58.099999999999994,1.34,16.1,30.599999999999998,72.0,51.0,16.5,50.6,53.300000000000004,49.3
1610612755,Philadelphia 76ers,66,93.6,35,31,53.0,44.800000000000004,36.199999999999996,74.2,10.7,32.5,43.2,22.0,11.2,4.2,102.7,98.2,4.6,58.8,1.97,17.5,27.700000000000003,71.2,49.5,12.3,48.0,51.1,53.2
1610612756,Phoenix Suns,66,98.4,33,33,50.0,45.800000000000004,34.300000000000004,75.7,10.9,30.8,41.7,22.5,14.1,-0.2,105.2,105.2,-0.1,59.599999999999994,1.6,17.4,29.4,68.7,49.3,15.0,49.9,53.6,50.2
1610612757,Portland Trail Blazers,66,97.2,28,38,42.4,44.3,34.599999999999994,79.60000000000001,11.1,29.5,40.7,20.4,14.2,-0.6,104.4,105.3,-0.9,56.2,1.44,16.1,30.3,69.1,49.3,15.2,48.8,53.1,49.4
1610612758,Sacramento Kings,66,98.8,22,44,33.300000000000004,43.6,31.6,73.6,13.4,29.5,42.9,19.3,14.4,-5.7,102.9,108.7,-5.8,51.0,1.34,14.7,32.1,67.0,48.699999999999996,15.0,47.199999999999996,51.0,45.1
1610612759,San Antonio Spurs,66,103.7,50,16,75.8,47.8,39.300000000000004,74.8,10.3,32.6,43.0,23.2,13.6,7.2,110.0,102.3,7.7,58.5,1.71,17.8,28.199999999999996,72.0,50.7,14.399999999999999,52.800000000000004,56.2,54.6
1610612761,Toronto Raptors,66,90.7,23,43,34.8,44.0,34.0,77.0,10.6,31.4,42.0,20.9,15.2,-3.3,99.6,103.6,-3.9,60.9,1.38,16.8,29.4,70.8,50.3,16.7,47.5,51.800000000000004,47.8
1610612762,Utah Jazz,66,99.7,36,30,54.50000000000001,45.6,32.300000000000004,75.4,13.0,31.1,44.2,21.8,14.2,0.6,105.5,104.9,0.5,56.99999999999999,1.54,16.6,34.0,70.3,51.9,15.0,48.1,52.5,50.9
1610612764,Washington Wizards,66,93.6,20,46,30.3,44.1,32.0,72.7,11.7,29.9,41.7,19.1,15.3,-4.8,100.0,104.9,-5.0,52.300000000000004,1.25,15.1,30.8,67.80000000000001,48.9,16.3,47.199999999999996,50.8,46.0
